Colex_Key,dataset_ID,Form,Colex_IDs,Num_concepts,Concept_names,Semantic_field,Ontological_category
stan1295_springen,ids,springen,"{'1537', '1829'}",2,"['SPRINGTIME', 'JUMP']","['Motion', 'Time']","['Action/Process', 'Person/Thing']"
stan1295_steigen,ids,steigen,"{'1102', '568'}",2,"['CLIMB', 'RISE (MOVE UPWARDS)']","['Motion', 'The physical world']","['Action/Process', 'Action/Process']"
stan1295_sterben,ids,sterben,"{'2101', '1494'}",2,"['BE DEAD OR DIE', 'DIE']","['The body', 'Time']","['Action/Process', 'Action/Process']"
stan1295_tragen,ids,tragen,"{'413', '415', '412', '414', '700'}",5,"['CARRY ON SHOULDER', 'CARRY UNDER ARM', 'CARRY IN HAND', 'CARRY ON HEAD', 'CARRY']","['Motion', 'Motion', 'Motion', 'Motion', 'Motion']","['Action/Process', 'Action/Process', 'Action/Process', 'Action/Process', 'Action/Process']"
stan1295_treiben,ids,treiben,"{'1574', '741'}",2,"['FLOAT', 'DRIVE']","['Motion', 'Motion']","['Action/Process', 'Action/Process']"
stan1295_trennen,ids,trennen,"{'1119', '1359'}",2,"['DIVIDE', 'SEPARATE']","['Spatial relations', 'Spatial relations']","['Action/Process', 'Action/Process']"
stan1295_unter,ids,unter,"{'1485', '2094'}",2,"['BELOW OR UNDER', 'DOWN OR BELOW']","['Spatial relations', 'Spatial relations']","['Other', 'Other']"
stan1295_vaɪ̯də,northeuralex,vaɪ̯də,"{'818', '649'}",2,"['WILLOW', 'PASTURE']","['Agriculture and vegetation', 'Animals']","['Person/Thing', 'Person/Thing']"
stan1295_vor,ids,vor,"{'1882', '1883'}",2,"['BEFORE', 'IN FRONT OF']","['Spatial relations', 'Time']","['Other', 'Other']"
stan1295_warm,ids,warm,"{'2110', '1232'}",2,"['WARM (OF WEATHER)', 'WARM']","['Sense perception', 'The physical world']","['Property', 'Property']"
stan1295_weiblich,ids,weiblich,"{'2260', '2262'}",2,"['FEMALE (OF PERSON)', 'FEMALE (OF ANIMAL)']","['Animals', 'Kinship']","['Property', 'Property']"
stan1295_wieviel?,ids,wieviel?,"{'531', '3450'}",2,"['HOW MUCH', 'HOW MANY PIECES']","['Cognition', 'Cognition']","['Other', 'Other']"
stan1295_wir,ids,wir,"{'1131', '1212', '1130'}",3,"['WE (INCLUSIVE)', 'WE', 'WE (EXCLUSIVE)']","['Kinship', 'Kinship', 'Kinship']","['Other', 'Other', 'Other']"
stan1295_ɛsən,northeuralex,ɛsən,"{'1336', '1526'}",2,"['EAT', 'MEAL']","['Food and drink', 'Food and drink']","['Action/Process', 'Person/Thing']"
stan1295_ʃaɪ̯nən,northeuralex,ʃaɪ̯nən,"{'1521', '708'}",2,"['SEEM', 'SHINE']","['Cognition', 'Sense perception']","['Action/Process', 'Action/Process']"
