Colex_Key,dataset_ID,Form,Colex_IDs,Num_concepts,Concept_names,Semantic_field,Ontological_category
russ1263_plyt ́,ids,plyt ́,"{'787', '1439'}",2,"['SAIL', 'SWIM']","['Motion', 'Motion']","['Action/Process', 'Action/Process']"
russ1263_pod,ids,pod,"{'1485', '2094'}",2,"['BELOW OR UNDER', 'DOWN OR BELOW']","['Spatial relations', 'Spatial relations']","['Other', 'Other']"
russ1263_podnjat ́ sja,ids,podnjat ́ sja,"{'705', '568'}",2,"['GO UP (ASCEND)', 'RISE (MOVE UPWARDS)']","['Motion', 'The physical world']","['Action/Process', 'Action/Process']"
russ1263_pole,ids,pole,"{'652', '212'}",2,"['PLAIN', 'FIELD']","['Agriculture and vegetation', 'The physical world']","['Person/Thing', 'Person/Thing']"
russ1263_pravil ́nyj,ids,pravil ́nyj,"{'1725', '1657'}",2,"['CORRECT (RIGHT)', 'TRUE']","['Emotions and values', 'Emotions and values']","['Property', 'Property']"
russ1263_pridti,ids,pridti,"{'1387', '1446'}",2,"['ARRIVE', 'COME']","['Motion', 'Motion']","['Action/Process', 'Action/Process']"
russ1263_put,ids,put,"{'2457', '667'}",2,"['PATH OR ROAD', 'ROAD']","['Motion', 'Motion']","['Person/Thing', 'Person/Thing']"
russ1263_rov,ids,rov,"{'1176', '2002'}",2,"['SPADE', 'DITCH']","['Agriculture and vegetation', 'Agriculture and vegetation']","['Person/Thing', 'Person/Thing']"
russ1263_rubit,ids,rubit,"{'1432', '355'}",2,"['CUT', 'CUT DOWN']","['Basic actions and technology', 'Basic actions and technology']","['Action/Process', 'Action/Process']"
russ1263_ruka,ids,ruka,"{'1277', '1673'}",2,"['HAND', 'ARM']","['The body', 'The body']","['Person/Thing', 'Person/Thing']"
russ1263_serp,ids,serp,"{'341', '2132'}",2,"['SICKLE', 'SICKLE OR SCYTHE']","['Agriculture and vegetation', 'Basic actions and technology']","['Person/Thing', 'Person/Thing']"
russ1263_skol ́ko,ids,skol ́ko,"{'531', '3450'}",2,"['HOW MUCH', 'HOW MANY PIECES']","['Cognition', 'Cognition']","['Other', 'Other']"
russ1263_skot,ids,skot,"{'1153', '631'}",2,"['CATTLE', 'LIVESTOCK']","['Animals', 'Animals']","['Person/Thing', 'Person/Thing']"
russ1263_svet,ids,svet,"{'965', '630'}",2,"['WORLD', 'LIGHT (RADIATION)']","['The physical world', 'The physical world']","['Person/Thing', 'Person/Thing']"
russ1263_svetlyj,ids,svetlyj,"{'250', '679'}",2,"['LIGHT (COLOR)', 'BRIGHT']","['Sense perception', 'Sense perception']","['Property', 'Property']"
russ1263_syroj,ids,syroj,"{'1958', '1959', '1726'}",3,"['UNRIPE', 'RAW', 'WET']","['Food and drink', 'Food and drink', 'Sense perception']","['Property', 'Property', 'Property']"
russ1263_t ́otja,ids,t ́otja,"{'170', '171'}",2,"[""FATHER'S SISTER"", ""MOTHER'S SISTER""]","['Kinship', 'Kinship']","['Person/Thing', 'Person/Thing']"
russ1263_tarelka,ids,tarelka,"{'480', '481'}",2,"['PLATE', 'DISH']","['Food and drink', 'Food and drink']","['Person/Thing', 'Person/Thing']"
russ1263_trava,ids,trava,"{'653', '606'}",2,"['PLANT (VEGETATION)', 'GRASS']","['Agriculture and vegetation', 'Agriculture and vegetation']","['Person/Thing', 'Person/Thing']"
russ1263_truba,ids,truba,"{'2136', '1305'}",2,"['BRASS INSTRUMENT (HORN OR TRUMPET)', 'CHIMNEY']","['Speech and language', 'The house']","['Person/Thing', 'Person/Thing']"
russ1263_tykva,ids,tykva,"{'864', '411'}",2,"['PUMPKIN', 'GOURD']","['Agriculture and vegetation', 'Agriculture and vegetation']","['Person/Thing', 'Person/Thing']"
russ1263_učit,ids,učit,"{'709', '1929'}",2,"['TEACH', 'STUDY']","['Cognition', 'Cognition']","['Action/Process', 'Action/Process']"
